source_id,canonical_id,source_nome,canonical_nome,source_produtor,canonical_produtor,source_safra,canonical_safra,canonical_rating,score_total,score_jaccard,score_produtor,score_safra,match_reason,tier,decision,justificativa
1796520,94874,Chaski Petit Verdot 2019,Petit Verdot Chaski,Chaski Petit Verdot,Perez Cruz,,,4.10,0.435,0.75,0.0,0.3,tokens_compartilhados+nome_invertido,media,approve,Mesmo vinho mesma vinicola. Nome invertido. Caso critico validado.
1803853,40743,FINCA LAS MORAS CABERNET SAUVIGNON,Las Moras Cabernet Sauvignon,,Bodega Finca Las Moras,,,3.40,0.460,0.80,0.0,0.3,nome_quase_identico,media,approve,Mesmo vinho. Loja inclui Finca no nome. Caso critico validado.
1806948,40743,VINO FINCA LAS MORAS CABERNET SAUVIGNON 750CC,Las Moras Cabernet Sauvignon,,Bodega Finca Las Moras,,,3.40,0.400,0.67,0.0,0.3,tokens_compartilhados,media,approve,Mesmo vinho com prefixo VINO e sufixo 750CC.
1792269,15056,MONTES ALPHA MERLOT VALLE COLCHAGUA 2020,Montes Alpha Merlot,MONTES ALPHA,Montes,2020,,3.80,0.500,0.60,0.5,0.3,tokens+produtor_parcial,media,approve,Mesmo vinho com regiao e safra adicionais no nome.
1818495,1255,Santa Rita 120 Sauvignon Blanc,120 Reserva Especial Sauvignon Blanc,Santa Rita 120,Santa Rita,,,3.40,0.500,0.57,0.5,0.3,tokens+produtor_parcial,media,approve,Mesma linha 120 Santa Rita. Produtor confirmado.
2261784,15054,VT MONTES ALPHA CABERNET SAUV,Montes Alpha Cabernet Sauvignon,VT MONTES ALPHA,Montes,,,3.90,0.450,0.50,0.5,0.3,tokens+produtor_parcial,media,approve,Mesmo vinho. VT=Vino Tinto. Nome truncado.
2261780,15056,VT MONTES ALPHA Merlot,Montes Alpha Merlot,VT MONTES ALPHA,Montes,,,3.80,0.550,0.67,0.5,0.3,tokens+produtor_parcial,media,approve,Mesmo vinho. VT=Vino Tinto.
2261782,15055,VT MONTES ALPHA Carmenere,Montes Alpha Carmenere,VT MONTES ALPHA,Montes,,,4.00,0.550,0.67,0.5,0.3,tokens+produtor_parcial,media,approve,Mesmo vinho. VT=Vino Tinto.
2261778,39131,VT MONTES ALPHA Pinot Noir,Montes Alpha Pinot Noir,VT MONTES ALPHA,Montes,,,3.80,0.500,0.57,0.5,0.3,tokens+produtor_parcial,media,approve,Mesmo vinho. VT=Vino Tinto.
1743048,99420,Carmen Cabernet Sauvignon Reserva,Carmen Cabernet Sauvignon Reserva,,Carmen,,,3.50,0.600,0.80,0.0,0.3,nome_quase_identico,media,approve,Nome identico. Produtor Carmen confirmado.
1788817,40743,Finca Las Moras Alma Mora Cabernet Sauvignon,Las Moras Cabernet Sauvignon,,Bodega Finca Las Moras,,,3.40,0.350,0.50,0.0,0.3,tokens_parciais,baixa,reject,Alma Mora e LINHA DIFERENTE de Las Moras regular.
1757212,15054,MONTES ALPHA OUTER LIMITS CAR,Montes Alpha Cabernet Sauvignon,MONTES ALPHA OUTER,Montes,,,3.90,0.300,0.40,0.0,0.3,tokens_parciais,baixa,reject,Outer Limits e LINHA DIFERENTE. CAR pode ser Carignan.
1755713,15054,Montes Alpha Outer Limits Cinsault,Montes Alpha Cabernet Sauvignon,Montes Alpha Outer,Montes,,,3.90,0.250,0.33,0.0,0.3,tokens_parciais,baixa,reject,Cinsault != Cabernet. Linha e uva diferentes.
1800714,,Dom Perignon,,,Dom Perignon,,,,,,,,,baixa,,LACUNA DE DADOS. Nenhum canonico Dom Perignon no banco.
1814050,,Luigi Bosca De Sangre Malbec,,Luigi Bosca,,,,,,,,,,baixa,,LACUNA DE DADOS. Canonico argentino nao existe no banco.
