source_id,canonical_id,canonical_rating,source_nome,canonical_nome,justificativa
1817467,15054,3.90,Montes Alpha Cabernet Sauvignon 2022,Montes Alpha Cabernet Sauvignon,Mesmo vinho com safra no nome.
1822903,15054,3.90,Montes Alpha Cabernet Sauvignon 2022,Montes Alpha Cabernet Sauvignon,Mesmo vinho com safra no nome. Outra loja.
2275023,15055,4.00,Vinho Tinto Seco Montes Alpha Carmenere,Montes Alpha Carmenere,Mesmo vinho com prefixo de loja.
2013260,15056,3.80,Botella Vino Montes Alpha Merlot,Montes Alpha Merlot,Mesmo vinho com prefixo Botella Vino.
1804556,39131,3.80,MONTES ALPHA Pinot Noir caja x6,Montes Alpha Pinot Noir,Mesmo vinho em caixa.
1843291,39131,3.80,Vinho Tinto Chileno Montes Alpha Pinot Noir,Montes Alpha Pinot Noir,Mesmo vinho com prefixo de loja.
1992433,39131,3.80,Caja 6 unidades Montes Alpha Pinot Noir,Montes Alpha Pinot Noir,Mesmo vinho em caixa.
1992431,101120,3.80,Caja 6 unidades Montes Alpha Chardonnay,Montes Alpha Chardonnay,Mesmo vinho em caixa.
2016225,101120,3.80,Vinho Branco Seco Montes Alpha Chardonnay,Montes Alpha Chardonnay,Mesmo vinho com prefixo de loja.
2019666,101120,3.80,Vinho Branco Montes Alpha Chardonnay 2022,Montes Alpha Chardonnay,Mesmo vinho com safra e prefixo.
2275013,15057,3.90,Vinho Tinto Seco Montes Alpha Syrah,Montes Alpha Syrah,Mesmo vinho com prefixo de loja.
1992456,134817,3.90,Caja 6x Montes Alpha Malbec 750cc,Montes Alpha Malbec,Mesmo vinho em caixa.
1848357,1258,3.30,Vinho Tinto Chileno 120 Reserva Merlot Santa Rita,120 Reserva Especial Merlot,Mesma linha 120 Santa Rita Merlot.
2102010,887146,3.60,CHATEAU DU GRAND PUCH BORDEAUX SUPERIEUR,Chateau du Grand Puch Bordeaux Superieur,Nome identico. Mesmo chateau.
1741179,2076,4.40,2003 Vina Almaviva Puente Alto Chile,Almaviva,Almaviva safra 2003. Mesmo vinho iconico.
1748299,7546,4.60,2012 Clos Apalta Vinotheque,Clos Apalta,Clos Apalta Vinotheque 2012. Release tardio do mesmo vinho.
1753189,7546,4.60,2013 Clos Apalta Vinotheque,Clos Apalta,Clos Apalta Vinotheque 2013. Release tardio do mesmo vinho.
1862243,15052,4.40,Purple Angel Carmenere 2021 (Vina Montes),Purple Angel,Purple Angel com safra e produtor no nome.
2271802,15052,4.40,Vinho Tinto Montes Purple Angel 2021,Purple Angel,Purple Angel com prefixo de loja e safra.
1820106,1254,3.30,Vina Santa Rita 120 Cabernet Sauvignon,120 Reserva Especial Cabernet Sauvignon,Mesma linha 120 Santa Rita CS.
1851793,1254,3.30,Vinho Chileno Santa Rita 120 Cabernet Sauvignon,120 Reserva Especial Cabernet Sauvignon,Mesma linha 120 Santa Rita CS com prefixo.
